model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,Action,061,0.5,15,8,4,4
deepgazeiie,Action,061,0.5,25,8,4,4
deepgazeiie,Action,061,0.5,35,8,4,4
deepgazeiie,Action,061,0.6,15,4,4,0
deepgazeiie,Action,061,0.6,25,4,4,0
deepgazeiie,Action,061,0.6,35,4,4,0
deepgazeiie,Action,061,0.7,15,4,4,0
deepgazeiie,Action,061,0.7,25,4,4,0
deepgazeiie,Action,061,0.7,35,4,4,0
deepgazeiie,Action,063,0.5,15,4,3,1
deepgazeiie,Action,063,0.5,25,4,3,1
deepgazeiie,Action,063,0.5,35,4,3,1
deepgazeiie,Action,063,0.6,15,4,3,1
deepgazeiie,Action,063,0.6,25,4,3,1
deepgazeiie,Action,063,0.6,35,4,3,1
deepgazeiie,Action,063,0.7,15,4,3,1
deepgazeiie,Action,063,0.7,25,4,3,1
deepgazeiie,Action,063,0.7,35,4,3,1
deepgazeiie,Action,065,0.5,15,8,3,5
deepgazeiie,Action,065,0.5,25,8,3,5
deepgazeiie,Action,065,0.5,35,8,3,5
deepgazeiie,Action,065,0.6,15,8,3,5
deepgazeiie,Action,065,0.6,25,8,3,5
deepgazeiie,Action,065,0.6,35,8,3,5
deepgazeiie,Action,065,0.7,15,8,3,5
deepgazeiie,Action,065,0.7,25,8,3,5
deepgazeiie,Action,065,0.7,35,8,3,5
deepgazeiie,Action,067,0.5,15,8,4,4
deepgazeiie,Action,067,0.5,25,8,4,4
deepgazeiie,Action,067,0.5,35,8,4,4
deepgazeiie,Action,067,0.6,15,8,4,4
deepgazeiie,Action,067,0.6,25,8,4,4
deepgazeiie,Action,067,0.6,35,8,4,4
deepgazeiie,Action,067,0.7,15,4,4,0
deepgazeiie,Action,067,0.7,25,4,4,0
deepgazeiie,Action,067,0.7,35,4,4,0
deepgazeiie,Action,069,0.5,15,4,4,0
deepgazeiie,Action,069,0.5,25,4,4,0
deepgazeiie,Action,069,0.5,35,4,4,0
deepgazeiie,Action,069,0.6,15,4,4,0
deepgazeiie,Action,069,0.6,25,4,4,0
deepgazeiie,Action,069,0.6,35,4,4,0
deepgazeiie,Action,069,0.7,15,4,4,0
deepgazeiie,Action,069,0.7,25,4,4,0
deepgazeiie,Action,069,0.7,35,4,4,0
