model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,LineDrawing,029,0.5,35,8,3,5
deepgazeiie,LineDrawing,031,0.5,35,20,1,19
deepgazeiie,LineDrawing,033,0.5,35,12,3,9
deepgazeiie,LineDrawing,035,0.5,35,12,1,11
deepgazeiie,LineDrawing,037,0.5,35,12,6,6
deepgazeiie,LineDrawing,039,0.5,35,16,3,13
deepgazeiie,LineDrawing,041,0.5,35,16,3,13
deepgazeiie,LineDrawing,043,0.5,35,4,1,3
deepgazeiie,LineDrawing,045,0.5,35,12,3,9
deepgazeiie,LineDrawing,047,0.5,35,8,4,4
deepgazeiie,LineDrawing,049,0.5,35,12,3,9
deepgazeiie,LineDrawing,051,0.5,35,4,1,3
deepgazeiie,LineDrawing,053,0.5,35,4,3,1
deepgazeiie,LineDrawing,055,0.5,35,12,5,7
deepgazeiie,LineDrawing,057,0.5,35,16,10,6
deepgazeiie,LineDrawing,059,0.5,35,12,2,10
deepgazeiie,LineDrawing,061,0.5,35,8,3,5
deepgazeiie,LineDrawing,063,0.5,35,8,2,6
deepgazeiie,LineDrawing,065,0.5,35,20,3,17
deepgazeiie,LineDrawing,067,0.5,35,12,7,5
deepgazeiie,LineDrawing,069,0.5,35,24,2,22
deepgazeiie,LowResolution,001,0.5,35,4,2,2
deepgazeiie,LowResolution,003,0.5,35,4,8,4
deepgazeiie,LowResolution,005,0.5,35,12,4,8
deepgazeiie,LowResolution,007,0.5,35,4,7,3
deepgazeiie,LowResolution,009,0.5,35,12,5,7
deepgazeiie,LowResolution,011,0.5,35,4,2,2
deepgazeiie,LowResolution,013,0.5,35,24,5,19
deepgazeiie,LowResolution,015,0.5,35,16,2,14
deepgazeiie,LowResolution,017,0.5,35,4,4,0
deepgazeiie,LowResolution,019,0.5,35,12,6,6
deepgazeiie,LowResolution,021,0.5,35,12,4,8
deepgazeiie,LowResolution,023,0.5,35,12,2,10
deepgazeiie,LowResolution,025,0.5,35,16,1,15
deepgazeiie,LowResolution,027,0.5,35,16,1,15
deepgazeiie,LowResolution,029,0.5,35,12,2,10
deepgazeiie,LowResolution,031,0.5,35,16,1,15
deepgazeiie,LowResolution,033,0.5,35,24,2,22
deepgazeiie,LowResolution,035,0.5,35,4,5,1
deepgazeiie,LowResolution,037,0.5,35,4,11,7
deepgazeiie,LowResolution,039,0.5,35,8,7,1
deepgazeiie,LowResolution,041,0.5,35,12,3,9
deepgazeiie,LowResolution,043,0.5,35,14,2,12
deepgazeiie,LowResolution,045,0.5,35,8,3,5
deepgazeiie,LowResolution,047,0.5,35,4,1,3
deepgazeiie,LowResolution,049,0.5,35,12,3,9
deepgazeiie,LowResolution,051,0.5,35,4,5,1
deepgazeiie,LowResolution,053,0.5,35,8,3,5
deepgazeiie,LowResolution,055,0.5,35,4,2,2
deepgazeiie,LowResolution,057,0.5,35,4,6,2
deepgazeiie,LowResolution,059,0.5,35,4,6,2
